event_alias,bounded_context,class,producer,flow_pattern,authoritative_source,aggregate,synchronous_write_set,canonical_store,outbox_required,ordering,consumers,external_effect,retry_policy,dead_letter,reconciliation,privacy_class,evidence_kind,feature_input,retention_class,required_data,optional_data,notes
intervention.instance.cancelled,interventions,domain,intervention_orchestrator,internal_domain_transaction,platform_domain_transaction,intervention_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,intervention_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,intervention_instance_id;reason_code;cancelled_at,,
support.requested,interventions,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,support_request,domain state; canonical_event; outbox,immutable canonical event store,yes,support_request: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,support_queue;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,eligible,operational,support_request_id;entrepreneur_id;request_category;requested_at,journey_instance_id;activity_instance_id;preferred_channel,
support.request.fulfilled,interventions,domain,support_operations,internal_domain_transaction,platform_domain_transaction,support_request,domain state; canonical_event; outbox,immutable canonical event store,yes,support_request: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,support_projection;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,support_request_id;fulfillment_type;fulfilled_at,resolution_code,
integration.sync.requested,integrations,integration,integration_orchestrator,external_effect_async,platform_domain_transaction,sync_operation,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,sync_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,integration_worker;operations_monitoring,external synchronization job,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,server_transactional,ineligible,operational,sync_operation_id;connector;entity_type;entity_id;mapping_version;requested_at,trigger_event_ids,
integration.sync.succeeded,integrations,integration,integration_worker,external_effect_async,platform_domain_transaction,sync_operation,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,sync_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,integration_projection;operations_monitoring,external synchronization job,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,external_confirmed,ineligible,operational,sync_operation_id;connector;external_object_id;succeeded_at,external_version,
integration.sync.failed,integrations,integration,integration_worker,external_effect_async,platform_domain_transaction,sync_operation,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,sync_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,integration_projection;retry_scheduler;operations_monitoring,external synchronization job,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,external_confirmed,ineligible,operational,sync_operation_id;connector;failure_code;failed_at;retryable,provider_request_id,
integration.conflict.detected,integrations,integration,integration_worker,external_effect_async,platform_domain_transaction,sync_operation,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,sync_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,reconciliation_queue;operations_monitoring,none by default,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,restricted,server_transactional,ineligible,operational,sync_operation_id;entity_type;entity_id;conflicting_fields;detected_at,external_snapshot_hash,
integration.conflict.reconciled,integrations,integration,integration_worker,external_effect_async,platform_domain_transaction,sync_operation,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,sync_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,integration_projection;audit_projection,none by default,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,restricted,server_transactional,ineligible,operational,sync_operation_id;resolution_policy;resolved_fields;reconciled_at,resolved_by,
integration.webhook.received,integrations,integration,webhook_gateway,external_webhook_ingestion,verified_external_source_then_internal_canonical_event,webhook_delivery,webhook_receipt; validation_result; normalized_event/outbox when valid,immutable canonical event store,yes,webhook_delivery: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,webhook_validation;operations_monitoring,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,external_observed,ineligible,integration_short,webhook_delivery_id;connector;provider_event_id;received_at;payload_hash,,
integration.webhook.validated,integrations,integration,webhook_gateway,external_webhook_ingestion,verified_external_source_then_internal_canonical_event,webhook_delivery,webhook_receipt; validation_result; normalized_event/outbox when valid,immutable canonical event store,yes,webhook_delivery: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,webhook_processing,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,server_acknowledged,ineligible,operational,webhook_delivery_id;signature_version;validated_at,,
integration.webhook.rejected,integrations,audit,webhook_gateway,external_webhook_ingestion,verified_external_source_then_internal_canonical_event,webhook_delivery,webhook_receipt; validation_result; normalized_event/outbox when valid,immutable canonical event store,yes,webhook_delivery: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,security_monitoring;operations_monitoring,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,restricted,server_acknowledged,ineligible,security_short,webhook_delivery_id;reason_code;rejected_at,,
integration.webhook.processed,integrations,integration,integration_worker,external_effect_async,platform_domain_transaction,webhook_delivery,integration_job/history; canonical integration event/outbox,immutable canonical event store,yes,webhook_delivery: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,integration_projection,none by default,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,internal,server_transactional,ineligible,operational,webhook_delivery_id;canonical_event_ids;processed_at,,
external.credit.stage.changed,integrations,integration,credit_connector,external_webhook_ingestion,verified_external_source_then_internal_canonical_event,credit_operation,webhook_receipt; validation_result; normalized_event/outbox when valid,immutable canonical event store,yes,credit_operation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;intervention_orchestrator;research_projection,none; event confirms inbound/external result,bounded exponential backoff with jitter; respect provider retry semantics,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,integration history + external mapping/checkpoint reconciliation,restricted,external_confirmed,conditional,operational,credit_operation_ref;previous_stage_code;new_stage_code;source_occurred_at;source_event_id,business_id;entrepreneur_id;reason_codes,"Contrato reservado; não implementar até receber estados, IDs e fonte oficial da operação de crédito."
